,country,age,grades_max,grades_mean,height,weight,max_fra,mean_fra
0,AUS,34.0,75,47.0,176.0,67.0,9b,7a
1,AUT,32.0,75,47.0,177.0,68.0,9b,7a
2,BEL,33.0,75,46.0,177.0,67.0,9b,6c+/7a
3,BRA,33.0,75,45.0,175.0,67.0,9b,6c+
4,CAN,35.0,72,46.0,175.0,68.0,9a/+,6c+/7a
5,CHE,35.0,75,47.0,177.0,69.0,9b,7a
6,CZE,31.0,77,52.0,176.0,66.0,9b+,7b/+
7,DEU,33.0,75,46.0,178.0,70.0,9b,6c+/7a
8,DNK,38.0,70,43.0,179.0,72.0,8c+/9a,6c
9,ESP,35.0,77,45.0,175.0,67.0,9b+,6c+
10,FIN,37.0,72,44.0,178.0,70.0,9a/+,6c/+
11,FRA,33.0,77,50.0,175.0,64.0,9b+,7a+/7b
12,GBR,32.0,75,49.0,175.0,67.0,9b,7a+
13,HRV,33.0,70,40.0,178.0,69.0,8c+/9a,6b/+
14,ITA,34.0,77,47.0,175.0,65.0,9b+,7a
15,MEX,32.0,75,49.0,173.0,64.0,9b,7a+
16,NLD,35.0,72,46.0,179.0,68.0,9a/+,6c+/7a
17,NOR,35.0,77,44.0,179.0,73.0,9b+,6c/+
18,POL,32.0,77,43.0,177.0,68.0,9b+,6c
19,PRT,33.0,71,40.0,174.0,67.0,9a,6b/+
20,RUS,31.0,75,45.0,175.0,65.0,9b,6c+
21,SVN,31.0,77,49.0,176.0,67.0,9b+,7a+
22,SWE,37.0,75,42.0,179.0,72.0,9b,6b+/6c
23,USA,31.0,77,46.0,175.0,68.0,9b+,6c+/7a
24,ZAF,33.0,70,41.0,177.0,70.0,8c+/9a,6b+
25,other,33.0,77,46.0,175.0,66.0,9b+,6c+/7a
